periodsEnd,runs,printPeriodData,printEveryNPeriods,dataTakingForm
10000,100,0,1,0
Marker,N,bmean,bstdev,econInt,burStr,burFear,Mean_Percent_Acting,StDev_Percent_Acting,Mean_Eq_Percent_Acting,StDev_Eq_Percent_Acting,Mean_Time_to_Equilibrium,StDev_Time_to_Equilibrium,Mean_%_Population_Who_Are_Rabble-Rousers,StDev_%_Population_Who_Are_Rabble-Rousers
72,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,0.9999500000000009,0.00021904291355759046,0.9999500000000009,0.00021904291355759046,54.66999999999992,0.4725815626252611,0.021689999999999997,0.004556480566348892
73,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,0.9999600000000007,0.00019694638556693229,0.9999600000000007,0.00019694638556693229,54.35999999999993,0.4824181513244212,0.022789999999999998,0.0045043077024985645
74,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,0.9999600000000007,0.00019694638556693229,0.9999600000000007,0.00019694638556693229,54.379999999999924,0.48783173121456375,0.022760000000000013,0.004107445813533164
75,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,0.9999200000000008,0.0002726599243442912,0.9999200000000008,0.0002726599243442912,54.21999999999993,0.41633319989322687,0.023349999999999992,0.004899752622079585
76,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,0.9999800000000008,0.0001407052941362898,0.9999800000000008,0.0001407052941362898,54.17999999999993,0.38612291966536905,0.022030000000000004,0.005240585594543549
77,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,0.9999600000000007,0.00019694638556693223,0.9999600000000007,0.00019694638556693223,54.10999999999993,0.3144660377352201,0.022799999999999994,0.004917501213199463
78,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,0.999910000000001,0.0002876234912646616,0.999910000000001,0.0002876234912646616,54.07999999999994,0.30748244591432267,0.02296,0.004556979329123689
79,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,0.9999300000000009,0.00025643239997624317,0.9999300000000009,0.00025643239997624317,54.039999999999935,0.24287836253956208,0.02327,0.00435740400892202
80,1000.0,0.6,0.2,0.0,0.30000000000000004,0.0,0.9999400000000008,0.00023868325657594227,0.9999400000000008,0.00023868325657594227,54.02999999999993,0.17144660799776537,0.022439999999999988,0.004311881634776543
81,1000.0,0.6,0.2,0.0,0.4,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,59.200000000000024,1.675732916690726,0.023099999999999996,0.004963503161715889
82,1000.0,0.6,0.2,0.0,0.4,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,58.04999999999998,1.0766108438479098,0.022059999999999996,0.003917894713988493
